# Nodes
0, 0.0, 0.0, 10.0, 0
1, 0.0, 0.0, 33.5, 1
2, 0.0, 0.0, 53.8, 2
3, 0.0, 0.0, 73.8, 3
4, 0.0, 0.0, 93.8, 4
5, 0.0, 0.0, 113.8, 5
6, 0.0, 0.0, 133.8, 6
7, 0.0, 0.0, 153.8, 7
8, 0.0, 0.0, 175.3, 8
9, 0.0, 0.0, 194.4, 9
10, 0.0, 0.0, 208.5, 10
11, 0.0, 0.0, 217.0, 11
12, 0.0, 0.0, 18.0, 12
13, 0.0, 0.0, 23.0, 13
14, 0.0, 0.0, 32.0, 14
15, 0.0, 0.0, 43.5, 15
16, 0.0, 0.0, 59.0, 16
17, 0.0, 0.0, 71.0, 17
18, 0.0, 0.0, 103.0,18

# Element Linear
0, 0, 1, 1
1, 1, 2, 2
2, 2, 3, 2
3, 3, 4, 2
4, 4, 5, 2
5, 5, 6, 2
6, 6, 7, 3
7, 7, 8, 4
8, 8, 9, 5
9, 9, 10, 6
10, 10, 11, 7
11, 0, 12, 8
12, 12, 13, 9
13, 13, 14, 10
14, 14, 15, 11
15, 15, 16, 12
16, 16, 17, 13
17, 17, 18, 14
