bin#,im,mafe,top_failure_prob,delta_mafe,bin_risk
1,0.066332495807108,0.02442437307281398,1.5901919298535245e-11,0.03620000000000001,5.756494786069761e-13
2,0.15198684153570663,0.0062835499520573585,8.213980725502193e-07,0.009089999999999994,7.46650847948149e-09
3,0.29698484809834996,0.0013808475658087685,0.0004792959077495356,0.002616000000000002,1.253838094672786e-06
4,0.5184592558726288,0.0003323913356271492,0.019576537123627977,0.00040799999999999994,7.987227146440214e-06
5,0.7461903242471052,0.0001185816174624044,0.105222948519137,0.00011040000000000011,1.1616613516512736e-05
6,0.9738069623903908,5.202384068866889e-05,0.25465167425006713,3.979999999999995e-05,1.0135136635152659e-05
7,1.287167432776327,1.9663163529808724e-05,0.4843950570487591,2.5000000000000025e-05,1.210987642621899e-05
8,2.226027852476244,2.43933935537395e-06,0.880955471231556,1.0321999999999994e-05,9.093222374052116e-06
9,3.7614358960375753,2.4049532219982994e-07,0.9905391714946518,3.570000000000004e-07,3.536224842235911e-07
10,5.315392741839497,4.288589511715939e-08,0.9990851119160117,1.0579999999999993e-07,1.0570320484071396e-07
